Counter,Date/time,Latitude,Longitude,Sunlight
1,2023-05-02 13:49:59.717966,-8.826926881025855,-46.14509018636099,1
2,2023-05-02 13:50:18.068582,-9.754753429762356,-45.46668803699118,1
3,2023-05-02 13:50:36.425648,-10.681143316427141,-44.78389716139941,1
4,2023-05-02 13:50:54.794406,-11.606195065751129,-44.09608230168831,1
5,2023-05-02 13:51:13.149499,-12.528440101456617,-43.40377197188738,1
6,2023-05-02 13:51:31.501510,-13.448224631496878,-42.706140266944665,1
7,2023-05-02 13:51:49.857238,-14.365709931889013,-42.00247717717275,1
8,2023-05-02 13:52:08.211906,-15.280458249361237,-41.292516102224425,1
9,2023-05-02 13:52:26.564166,-16.1921999558302,-40.57585398214448,1
10,2023-05-02 13:52:44.916924,-17.100872714297495,-39.85191126448431,1
11,2023-05-02 13:53:03.286874,-18.007095461130138,-39.11953309552137,1
12,2023-05-02 13:53:21.639570,-18.908946972622818,-38.37960736549174,1
13,2023-05-02 13:53:39.990624,-19.806976858166163,-37.63101710458878,1
14,2023-05-02 13:53:58.345100,-20.701206679652525,-36.873039202819676,1
15,2023-05-02 13:54:16.695330,-21.59102349231355,-36.10546940929219,1
16,2023-05-02 13:54:35.045303,-22.476379420599148,-35.32760669402786,1
17,2023-05-02 13:54:53.399654,-23.357227974391986,-34.53871585125859,1
18,2023-05-02 13:55:11.748993,-24.232869694814074,-33.738627698441135,1
19,2023-05-02 13:55:30.120669,-25.104324114508472,-32.92556292924841,1
20,2023-05-02 13:55:48.472115,-25.96928803606116,-32.1008151594764,1
21,2023-05-02 13:56:06.837684,-26.82909204317732,-31.262241621829656,1
22,2023-05-02 13:56:25.208555,-27.68300736100619,-30.409608130682344,1
23,2023-05-02 13:56:43.562411,-28.52967939874954,-29.54333988531156,1
24,2023-05-02 13:57:01.914009,-29.369448204541126,-28.66214335521445,1
25,2023-05-02 13:57:20.267982,-30.202251812034273,-27.765067159969448,1
26,2023-05-02 13:57:38.624484,-31.027671018410253,-26.851499572701243,1
27,2023-05-02 13:57:56.988374,-31.845568879601046,-25.92048040440822,1
28,2023-05-02 13:58:15.388927,-32.65682212478675,-24.96978082084195,1
29,2023-05-02 13:58:33.785077,-33.45920384449494,-24.00075741934967,1
30,2023-05-02 13:58:52.146915,-34.25101665161093,-23.014330577327534,1
31,2023-05-02 13:59:10.509963,-35.033368548457155,-22.00793922999293,1
32,2023-05-02 13:59:28.913101,-35.80743162431209,-20.97865407032796,1
33,2023-05-02 13:59:47.314855,-36.57094919584215,-19.92800618217488,1
34,2023-05-02 14:00:05.723524,-37.32377055964456,-18.854774226911122,1
35,2023-05-02 14:00:24.130631,-38.06502731853438,-17.75871754157188,1
36,2023-05-02 14:00:42.494561,-38.792550500887444,-16.64168341433485,1
37,2023-05-02 14:01:00.858547,-39.50753506417486,-15.50043355190024,1
38,2023-05-02 14:01:19.223666,-40.20945147139949,-14.334209264756753,1
39,2023-05-02 14:01:37.590113,-40.89771535004279,-13.142321818192643,1
40,2023-05-02 14:01:55.951859,-41.57148196126421,-11.924549284223318,1
41,2023-05-02 14:02:14.309908,-42.23017251709829,-10.680227713562893,1
42,2023-05-02 14:02:32.673374,-42.87344879706328,-9.408194987429034,1
43,2023-05-02 14:02:51.033496,-43.50033285109305,-8.108537084179405,1
44,2023-05-02 14:03:09.391131,-44.110166517742556,-6.780766888332318,1
45,2023-05-02 14:03:27.749735,-44.702363248434565,-5.424247605079962,1
46,2023-05-02 14:03:46.112026,-45.276272192535146,-4.038483623461804,1
47,2023-05-02 14:04:04.475319,-45.83107262725485,-2.6234329513112566,1
48,2023-05-02 14:04:22.834967,-46.365872482269666,-1.1793613593902066,1
49,2023-05-02 14:04:41.199666,-46.88016572907429,0.2944270260322863,1
50,2023-05-02 14:04:59.559895,-47.372919195252535,1.797049938916663,1
51,2023-05-02 14:05:17.925606,-47.84363479148275,3.329089513721444,1
52,2023-05-02 14:05:36.291294,-48.291389600637004,4.889692185091901,1
53,2023-05-02 14:05:54.656789,-48.71542475007039,6.478323507917803,1
54,2023-05-02 14:06:13.007061,-49.11466964394078,8.092937244849065,1
55,2023-05-02 14:06:31.361304,-49.488829212492845,9.734330139418015,1
56,2023-05-02 14:06:49.711077,-49.8370213212238,11.400724789062123,1
57,2023-05-02 14:07:08.061051,-50.158656288493695,13.0913351522538,1
58,2023-05-02 14:07:26.411590,-50.45307604593425,14.804781320240046,1
59,2023-05-02 14:07:44.764935,-50.71969278606033,16.5397411053098,1
60,2023-05-02 14:08:03.121530,-50.95791933559154,18.294523205592434,1
61,2023-05-02 14:08:21.480237,-51.1672018595514,20.067157696470083,1
62,2023-05-02 14:08:39.847196,-51.347106603625136,21.856182142786402,1
63,2023-05-02 14:08:58.219238,-51.49715335933724,23.6591219254684,1
64,2023-05-02 14:09:16.591985,-51.61693710269609,25.47323060823754,1
65,2023-05-02 14:09:34.998868,-51.70630148179314,27.29940091140354,1
66,2023-05-02 14:09:53.410603,-51.764791384208706,29.132273178318687,1
67,2023-05-02 14:10:11.819675,-51.792232916729944,30.968494021019453,1
68,2023-05-02 14:10:30.229655,-51.78856855477438,32.80580747850135,1
69,2023-05-02 14:10:48.644598,-51.75379280767694,34.64195262995915,1
70,2023-05-02 14:11:07.064724,-51.68796222239072,36.47445015679031,1
71,2023-05-02 14:11:25.500268,-51.59115484816884,38.30159013850874,1
72,2023-05-02 14:11:43.937572,-51.46362885880011,40.11961947801716,1
73,2023-05-02 14:12:02.384384,-51.305614106732385,41.92679514328511,1
74,2023-05-02 14:12:20.828386,-51.11757352177963,43.71960865173518,1
75,2023-05-02 14:12:39.275384,-50.89988583569768,45.49644242117829,1
76,2023-05-02 14:12:57.723614,-50.653059655156866,47.255078105055134,1
77,2023-05-02 14:13:16.173914,-50.377626460643604,48.99371420226802,1
78,2023-05-02 14:13:34.628002,-50.07414649207716,50.71078825026412,1
79,2023-05-02 14:13:53.082779,-49.74330253475197,52.4044635929671,1
80,2023-05-02 14:14:11.550131,-49.385529899833806,54.0744489647073,1
81,2023-05-02 14:14:30.017094,-49.001762955474824,55.71836468861231,1
82,2023-05-02 14:14:48.488185,-48.59263530890595,57.335597796724024,1
83,2023-05-02 14:15:06.956248,-48.159054426145765,58.92469856629374,1
84,2023-05-02 14:15:25.426131,-47.701678332088306,60.48541749800862,1
85,2023-05-02 14:15:43.894672,-47.221363317293125,62.01697704561663,1
86,2023-05-02 14:16:02.361980,-46.718884625144184,63.51906469521132,1
87,2023-05-02 14:16:20.826763,-46.19506190540741,64.9913802290732,1
88,2023-05-02 14:16:39.292542,-45.650584462557376,66.43410121634672,1
89,2023-05-02 14:16:57.754169,-45.08637199519675,67.84689223430243,1
90,2023-05-02 14:17:38.218805,-43.78394739915022,70.84082288938849,0
91,2023-05-02 14:18:18.670771,-42.39797383922538,73.69562529780401,0
92,2023-05-02 14:18:59.127948,-40.93521945151277,76.41745714676095,0
93,2023-05-02 14:19:39.612660,-39.40171935489366,79.0137425694311,0
94,2023-05-02 14:20:20.081420,-37.80554900622918,81.48856749762993,0
95,2023-05-02 14:21:00.555550,-36.151867837179424,83.85072482443186,0
96,2023-05-02 14:21:41.028345,-34.44644786327858,86.10748896557364,0
97,2023-05-02 14:22:21.503600,-32.694176230517456,88.26680809910594,0
